candidate_priority_rank,district_name,admin_name,hex_id,primary_reason,nearest_bus_stop_m,bus_stop_count_300m,bus_stop_count_400m,nearest_bus_stop_name,nearest_road_name,nearest_road_highway,existing_stop_distance_check,stop_spacing_check,road_width_waiting_space_proxy,bus_route_accessibility_proxy,final_recommendation,review_status,roadview_check_needed,roadview_check_notes,candidate_x,candidate_y,access_cost_m0,access_cost_m3,registered_population,registered_senior_population
1,노원구,중계2·3동,8930e1c2337ffff,high_demand_plus_near_400m_distance,52.0079612819721,11,18,서울시립북서울미술관후문,,service,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 11개, 400m 내 18개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961798.2958243404,1960342.245676161,366.2627693911319,388.6397346615837,3478.6213207288647,938.4310585592737
2,노원구,상계9동,8930e1c21b3ffff,high_demand_plus_near_400m_distance,60.98307241894481,9,17,청원고등학교후문,,footway,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 9개, 400m 내 17개: 공급 밀집, 신설 근거 약함","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961299.3361927614,1963187.2831951885,359.32557577943976,391.06447090154256,3242.761881630652,720.6326761478696
3,도봉구,도봉2동,8930e1d5673ffff,high_demand_plus_near_400m_distance,243.1582518637162,7,14,도봉파크빌3단지,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 7개, 400m 내 14개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960079.3880267089,1965298.459547874,385.4548254711237,415.7126511840356,2066.6779178009097,641.9532633330965
4,강남구,도곡2동,8930e1c85dbffff,high_demand_plus_near_400m_distance,257.6958530520285,3,9,우성캐릭터빌아파트,,"['footway', 'steps']",기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 3개, 400m 내 9개: 주변 공급 있음, 간격/위치 조정 검토","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960545.3856169728,1943197.2448488283,387.33313439572055,413.50420367911966,3081.996584983638,547.0608168730541
5,성북구,종암동,8930e1c33b3ffff,high_demand_plus_near_400m_distance,176.34333849970636,5,13,종암SK아파트,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 5개, 400m 내 13개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",959118.8980125636,1955784.8533911204,372.7829786789012,399.7522166563775,2513.242767458122,510.3662240997136
6,도봉구,방학3동,8930e1c2477ffff,high_demand_plus_near_400m_distance,29.97794020389876,18,27,신동아아파트16동,,service,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 18개, 400m 내 27개: 공급 밀집, 신설 근거 약함","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",958379.5146576175,1962392.819833724,325.9469881563721,354.94157937484306,3217.22068906469,807.3944456389795
7,동대문구,이문2동,8930e1c005bffff,high_demand_plus_near_400m_distance,52.135418577051965,8,12,한천로입구,,footway,"기존 정류장이 매우 가까움: 신설보다 접근동선, 횡단, 정류장 위치 조정 우선","300m 내 8개, 400m 내 12개: 공급 밀집, 신설 근거 약함","보행로/계단 proxy: 정류장 직접 설치 곤란, 인접 차도 또는 보행 연결 개선 검토","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토","정류장 신설보다 보행 연결로 개선: 계단/보행로, 횡단, 우회동선 개선",C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",961849.3816806128,1955643.02599994,338.9906321484471,361.34208448002784,2618.619063462012,559.4358673415022
8,강동구,성내2동,8930e1cf4abffff,high_demand_plus_near_400m_distance,264.53589364465813,3,11,천호역6번출구,풍성로35길,residential,기존 정류장까지 다소 멂: 신설 또는 기존 정류장 접근 개선 병행 검토,"300m 내 3개, 400m 내 11개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",966930.0768376748,1948498.4147486144,357.17836637643296,385.7534838438432,3220.471242484264,685.3992525063888
9,송파구,풍납1동,8930e1cf487ffff,near_400m_distance,115.61372566863298,3,7,풍납토성.천호역10번출구,바람드리15길,residential,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 3개, 400m 내 7개: 주변 공급 있음, 간격/위치 조정 검토",생활도로/이면도로 proxy: 도로폭과 정차 안전성 조건부 확인 필요,주변 버스 공급은 있으나 생활도로라 노선 진입 가능성 조건부,조건부 후보: 생활도로 폭이 부족하면 접근로/보행 연결 개선으로 대체,B_조건부_신설또는접근개선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",966492.6441215072,1948877.2165727504,354.0886456415961,385.4729359967107,2043.0524026518,545.8739295426706
10,강남구,도곡2동,8930e1c84abffff,near_400m_distance,129.6126336166035,4,9,매봉역입구,,service,기존 정류장이 보행권 내: 정류장 간격과 보행 연결성 확인,"300m 내 4개, 400m 내 9개: 주변 공급 있음, 간격/위치 조정 검토","서비스/단지 내부도로 proxy: 일반 버스 진입 불확실, 인접 차도 검토 필요","후보점 인접 도로는 버스 진입 부적합 가능성, 가장 가까운 기존 정류장/간선도로 연결 검토",정류장 신설보다 접근로 개선 또는 인접 차도 정류장 위치 조정,C_대체안_우선,True,"로드뷰에서 보도폭, 정차 가능 공간, 횡단보도/보행연결, 버스 진입 차로를 확인해야 함",960031.7337907898,1942952.0090806128,357.8694994857353,385.6811985873745,3032.6828245950987,542.3208082244349
